"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.082389831543","19.2816600799561","21.807710647583","21.3231792449951","19.7571506500244","","14.9029102325439","18.8882808685303","","20.7926406860352","19.028829574585","21.5635509490967","22.1767807006836","21.7505397796631","20.6340808868408","21.8776302337646","19.6179790496826","23.201379776001","21.8537502288818","","","","","","","",
"Africa Eastern and Southern","AFE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0587387084961","17.0089812278747","","17.4017581939697","","17.234956741333","18.4566612243652","17.4709997177124","17.2432594299316","17.4525499343872","16.8445100784301","16.5550003051758","16.4804878234863","17.2210006713867","15.2919998168945","15.5019998550415","15.5159997940063","14.0929999351502","",
"Afghanistan","AFG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.559211730957","10.8146924972534","4.86058568954468","6.49249029159546","6.39557981491089","5.14692163467407","6.48944759368896","7.13206768035889","7.96457004547119","7.28490495681763","8.26023578643799","8.20247173309326","","","","","","",
"Africa Western and Central","AFW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8203601837158","15.3238096237183","15.7315249443055","14.5252103805542","16.4000196456909","17.0561246871948","16.9791898727417","17.9546394348145","18.0091695785522","18.0316905975342","18.1756191253662","17.6112308502197","15.1183300018311","14.5397996902466","15.1999998092651","15.0900001525879","14.7278146743775","13.37943983078","16.3627490997314","17.2023448944092","14.2430000305176","14.451000213623","15.4910850524903","14.4800000190735","14.1950001716614",
"Angola","AGO","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11467981338501","","5.2550802230835","","","","","7.99235010147095","7.45479011535645","","","11.460000038147","8.68476963043213","8.96000003814697","8.36999988555908","8.82699966430664","7.13000011444092","8.91899967193604","6.55100011825562","6.76399993896484","5.40999984741211","6.04500007629395","6.46700000762939","6.92000007629395","6.6399998664856","7.72599983215332",
"Albania","ALB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3716506958008","10.7679862976074","11.0750179290771","10.7907085418701","","11.4857339859009","11.1068429946899","11.6269950866699","11.5800323486328","10.9884605407715","10.4410238265991","10.8297872543335","10.5701904296875","10.9706964492798","11.4001798629761","10.1343832015991","9.83377838134766","","",
"Andorra","AND","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.84200000762939","6.19552993774414","13.3152103424072","10.4428100585938","9.99098014831543","9.39243984222412","13.4619197845459","10.8952398300171","8.99199962615967","6.34999990463257","6.96124982833862","",
"Arab World","ARB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.489239692688","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5688695907593","12.7982301712036","14.7556104660034","","",
"Argentina","ARG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3987703323364","","15.6212596893311","15.8775396347046","16.2261505126953","16.3559608459473","16.4422092437744","14.3547201156616","15.1393003463745","15.8031702041626","15.5098400115967","15.1015701293945","15.7478399276733","16.0206699371338","15.0479698181152","15.1585597991943","14.5182600021362","14.4579296112061","13.7993297576904","13.9633102416992","13.3555402755737","13.2639198303223","12.5233402252197","12.5300703048706","12.4222898483276","12.2848997116089","","",
"Armenia","ARM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.74975109100342","","","","8.89112567901611","8.98857688903809","10.0050926208496","9.57238006591797","9.66730403900146","9.70266437530518","",
"American Samoa","ASM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4394102096558","","","11.7015399932861","","","","","","","6.92814016342163","","","10.1429996490479","10.7299995422363","10.3170003890991","7.89499998092651","7.75699996948242","7.70699977874756","7.66499996185303","7.13100004196167","7.37900018692017","6.8600001335144","9.16800022125244","9.80399990081787",
